Table 1
OrderID,OrderID,CustomerID,EmployeeID,OrderYearMonthDay,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,10248,VINET,5,1996July04,04.07.1996,01.08.1996,16.07.1996,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10249,10249,TOMSP,6,1996July05,05.07.1996,16.08.1996,10.07.1996,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10250,10250,HANAR,4,1996July08,08.07.1996,05.08.1996,12.07.1996,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,10251,VICTE,3,1996July08,08.07.1996,05.08.1996,15.07.1996,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10252,10252,SUPRD,4,1996July09,09.07.1996,06.08.1996,11.07.1996,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10253,10253,HANAR,3,1996July10,10.07.1996,24.07.1996,16.07.1996,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10254,10254,CHOPS,5,1996July11,11.07.1996,08.08.1996,23.07.1996,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10255,10255,RICSU,9,1996July12,12.07.1996,09.08.1996,15.07.1996,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10256,10256,WELLI,3,1996July15,15.07.1996,12.08.1996,17.07.1996,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,10257,HILAA,4,1996July16,16.07.1996,13.08.1996,22.07.1996,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,10258,ERNSH,1,1996July17,17.07.1996,14.08.1996,23.07.1996,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10259,10259,CENTC,4,1996July18,18.07.1996,15.08.1996,25.07.1996,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico
10260,10260,OTTIK,4,1996July19,19.07.1996,16.08.1996,29.07.1996,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10261,10261,QUEDE,4,1996July19,19.07.1996,16.08.1996,30.07.1996,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10262,10262,RATTC,8,1996July22,07.22.1996,08.19.1996,07.25.1996,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,10263,ERNSH,9,1996July23,23.07.1996,20.08.1996,31.07.1996,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10264,10264,FOLKO,6,1996July24,24.07.1996,21.08.1996,23.08.1996,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10265,10265,BLONP,2,1996July25,25.07.1996,22.08.1996,12.08.1996,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10266,10266,WARTH,3,1996July26,26.07.1996,06.09.1996,31.07.1996,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10267,10267,FRANK,4,1996July29,29.07.1996,26.08.1996,06.08.1996,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany
10268,10268,GROSR,8,1996July30,30.07.1996,27.08.1996,02.08.1996,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,10269,WHITC,5,1996July31,07.31.1996,08.14.1996,08.09.1996,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,10270,WARTH,1,1996August01,01.08.1996,29.08.1996,02.08.1996,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10271,10271,SPLIR,6,1996August01,08.01.1996,08.29.1996,08.30.1996,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,10272,RATTC,6,1996August02,08.02.1996,08.30.1996,08.06.1996,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,10273,QUICK,3,1996August05,05.08.1996,02.09.1996,12.08.1996,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10274,10274,VINET,6,1996August06,06.08.1996,03.09.1996,16.08.1996,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10275,10275,MAGAA,1,1996August07,07.08.1996,04.09.1996,09.08.1996,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10276,10276,TORTU,8,1996August08,08.08.1996,22.08.1996,14.08.1996,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10277,10277,MORGK,2,1996August09,09.08.1996,06.09.1996,13.08.1996,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany
10278,10278,BERGS,8,1996August12,12.08.1996,09.09.1996,16.08.1996,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10279,10279,LEHMS,8,1996August13,13.08.1996,10.09.1996,16.08.1996,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10280,10280,BERGS,2,1996August14,14.08.1996,11.09.1996,12.09.1996,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10281,10281,ROMEY,4,1996August14,14.08.1996,28.08.1996,21.08.1996,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10282,10282,ROMEY,4,1996August15,15.08.1996,12.09.1996,21.08.1996,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10283,10283,LILAS,3,1996August16,16.08.1996,13.09.1996,23.08.1996,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,10284,LEHMS,4,1996August19,19.08.1996,16.09.1996,27.08.1996,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10285,10285,QUICK,1,1996August20,20.08.1996,17.09.1996,26.08.1996,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10286,10286,QUICK,8,1996August21,21.08.1996,18.09.1996,30.08.1996,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10287,10287,RICAR,8,1996August22,22.08.1996,19.09.1996,28.08.1996,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10288,10288,REGGC,4,1996August23,23.08.1996,20.09.1996,03.09.1996,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
10289,10289,BSBEV,7,1996August26,26.08.1996,23.09.1996,28.08.1996,3,22.77,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
10290,10290,COMMI,8,1996August27,27.08.1996,24.09.1996,03.09.1996,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
10291,10291,QUEDE,6,1996August27,27.08.1996,24.09.1996,04.09.1996,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10292,10292,TRADH,1,1996August28,28.08.1996,25.09.1996,02.09.1996,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10293,10293,TORTU,1,1996August29,29.08.1996,26.09.1996,11.09.1996,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10294,10294,RATTC,4,1996August30,08.30.1996,09.27.1996,09.05.1996,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,10295,VINET,2,1996September02,02.09.1996,30.09.1996,10.09.1996,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10296,10296,LILAS,6,1996September03,03.09.1996,01.10.1996,11.09.1996,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,10297,BLONP,5,1996September04,04.09.1996,16.10.1996,10.09.1996,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10298,10298,HUNGO,6,1996September05,05.09.1996,03.10.1996,11.09.1996,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
